customer_id,plan,start_date,end_date,is_active,seats,mrr
1,Growth,11/4/2023,,TRUE,14,210
2,Growth,1/31/2022,,TRUE,41,615
3,Pro,9/8/2022,6/16/2023,FALSE,132,6468
4,Growth,3/24/2023,,TRUE,52,780
5,Growth,9/21/2022,,TRUE,60,900
6,Growth,7/8/2022,,TRUE,61,915
7,Pro,5/8/2022,,TRUE,62,3038
8,Growth,2/14/2023,,TRUE,35,525
9,Growth,11/24/2023,,TRUE,52,780
10,Pro,6/20/2023,4/19/2024,FALSE,108,5292
11,Pro,4/20/2022,,TRUE,91,4459
12,Pro,5/21/2023,11/16/2023,FALSE,99,4851
13,Growth,1/20/2022,,TRUE,9,135
14,Growth,7/21/2023,,TRUE,51,765
15,Enterprise,6/4/2022,,TRUE,47,4653
16,Enterprise,4/22/2022,10/11/2022,FALSE,81,8019
17,Pro,9/8/2022,5/3/2023,FALSE,69,3381
18,Growth,7/15/2023,,TRUE,29,435
19,Pro,12/19/2022,,TRUE,84,4116
20,Enterprise,9/17/2023,1/13/2024,FALSE,28,2772
21,Pro,12/10/2023,,TRUE,42,2058
22,Enterprise,11/26/2023,,TRUE,46,4554
23,Growth,7/4/2022,,TRUE,48,720
24,Pro,10/25/2023,,TRUE,34,1666
25,Pro,11/1/2023,,TRUE,104,5096
26,Pro,7/4/2022,,TRUE,113,5537
27,Pro,4/17/2023,,TRUE,128,6272
28,Pro,9/14/2022,,TRUE,73,3577
29,Enterprise,6/16/2022,,TRUE,73,7227
30,Enterprise,1/19/2023,,TRUE,39,3861
31,Growth,5/29/2022,,TRUE,38,570
32,Pro,9/25/2022,,TRUE,130,6370
33,Enterprise,6/23/2022,,TRUE,99,9801
34,Growth,4/17/2022,,TRUE,9,135
35,Growth,2/15/2022,4/19/2022,FALSE,25,375
36,Growth,1/24/2023,,TRUE,44,660
37,Growth,6/13/2023,,TRUE,63,945
38,Enterprise,2/14/2023,,TRUE,65,6435
39,Growth,6/25/2023,,TRUE,66,990
40,Pro,9/15/2022,,TRUE,147,7203
41,Growth,3/7/2022,8/16/2022,FALSE,41,615
42,Growth,8/21/2022,,TRUE,65,975
43,Enterprise,4/7/2023,,TRUE,86,8514
44,Pro,12/1/2023,11/6/2024,FALSE,57,2793
45,Growth,8/15/2022,,TRUE,12,180
46,Enterprise,11/28/2023,,TRUE,34,3366
47,Growth,3/2/2022,,TRUE,33,495
48,Growth,9/5/2022,,TRUE,24,360
49,Pro,2/3/2023,,TRUE,99,4851
50,Growth,3/18/2022,,TRUE,65,975
51,Pro,7/22/2023,3/29/2024,FALSE,143,7007
52,Pro,9/24/2023,,TRUE,45,2205
53,Growth,12/28/2022,,TRUE,46,690
54,Pro,1/11/2022,,TRUE,18,882
55,Growth,6/28/2023,,TRUE,27,405
56,Pro,3/9/2022,,TRUE,20,980
57,Growth,1/18/2023,,TRUE,58,870
58,Enterprise,11/8/2022,,TRUE,84,8316
59,Enterprise,11/2/2023,,TRUE,82,8118
60,Growth,3/7/2022,,TRUE,32,480
61,Enterprise,11/26/2023,3/23/2024,FALSE,88,8712
62,Pro,2/3/2022,,TRUE,13,637
63,Pro,1/15/2023,,TRUE,35,1715
64,Enterprise,9/29/2023,,TRUE,27,2673
65,Growth,9/6/2023,,TRUE,12,180
66,Growth,11/6/2023,,TRUE,54,810
67,Growth,11/12/2023,,TRUE,53,795
68,Growth,11/15/2023,,TRUE,64,960
69,Growth,9/15/2023,,TRUE,42,630
70,Pro,10/7/2022,,TRUE,60,2940
71,Growth,11/13/2022,,TRUE,28,420
72,Pro,3/29/2022,,TRUE,108,5292
73,Growth,6/30/2022,,TRUE,40,600
74,Growth,2/4/2022,,TRUE,17,255
75,Growth,3/13/2023,,TRUE,69,1035
76,Pro,10/6/2022,,TRUE,91,4459
77,Enterprise,1/4/2022,,TRUE,75,7425
78,Growth,3/13/2022,8/27/2022,FALSE,25,375
79,Pro,6/3/2022,,TRUE,29,1421
80,Enterprise,9/4/2023,,TRUE,12,1188
81,Enterprise,12/29/2022,,TRUE,63,6237
82,Pro,9/8/2022,5/17/2023,FALSE,13,637
83,Growth,11/18/2022,,TRUE,50,750
84,Growth,12/1/2022,8/5/2023,FALSE,5,75
85,Growth,1/30/2023,,TRUE,64,960
86,Pro,11/27/2022,11/6/2023,FALSE,88,4312
87,Growth,7/29/2023,,TRUE,58,870
88,Pro,6/22/2022,,TRUE,33,1617
89,Growth,6/7/2022,,TRUE,28,420
90,Growth,6/17/2023,,TRUE,14,210
91,Enterprise,2/2/2022,,TRUE,18,1782
92,Enterprise,6/10/2022,,TRUE,17,1683
93,Pro,6/13/2022,,TRUE,116,5684
94,Growth,4/14/2022,11/16/2022,FALSE,68,1020
95,Enterprise,1/30/2023,,TRUE,88,8712
96,Growth,1/1/2023,,TRUE,49,735
97,Pro,12/23/2022,,TRUE,71,3479
98,Growth,4/28/2023,1/8/2024,FALSE,65,975
99,Pro,9/25/2022,,TRUE,46,2254
100,Pro,11/28/2022,,TRUE,78,3822
101,Enterprise,7/21/2022,,TRUE,42,4158
102,Pro,8/24/2022,,TRUE,43,2107
103,Enterprise,7/12/2022,,TRUE,58,5742
104,Pro,11/6/2023,8/12/2024,FALSE,56,2744
105,Pro,9/29/2022,,TRUE,5,245
106,Growth,12/8/2022,,TRUE,66,990
107,Growth,11/11/2022,5/26/2023,FALSE,68,1020
108,Pro,8/31/2022,,TRUE,39,1911
109,Enterprise,8/29/2023,,TRUE,74,7326
110,Growth,5/6/2022,,TRUE,13,195
111,Growth,11/21/2023,,TRUE,22,330
112,Growth,9/2/2023,,TRUE,5,75
113,Enterprise,4/7/2023,8/24/2023,FALSE,58,5742
114,Growth,7/26/2023,5/29/2024,FALSE,57,855
115,Growth,1/1/2023,,TRUE,66,990
116,Growth,7/31/2023,,TRUE,51,765
117,Growth,7/19/2023,,TRUE,43,645
118,Pro,11/10/2023,,TRUE,63,3087
119,Enterprise,8/9/2022,,TRUE,14,1386
120,Growth,3/7/2023,9/7/2023,FALSE,55,825
121,Growth,12/8/2022,9/5/2023,FALSE,20,300
