customer_id,month,logins,tickets_raised,feature_usage_score
1,2023-11-04,241,105,88.91128351728139
1,2023-12-04,198,105,71.68281246806276
1,2024-01-03,199,85,14.654076823595885
1,2024-02-02,176,93,35.15637558663015
1,2024-03-03,216,109,86.43799686368116
1,2024-04-02,198,102,98.29369623229157
1,2024-05-02,207,97,67.61742666667507
1,2024-06-01,218,117,15.409393739263422
1,2024-07-01,196,108,87.53698142996608
1,2024-07-31,220,110,5.487526121646036
1,2024-08-30,221,97,36.16002688462328
1,2024-09-29,206,103,57.65636866632303
1,2024-10-29,203,99,13.996811211763237
1,2024-11-28,200,89,35.37522301408982
2,2022-01-31,231,77,35.957352698674605
2,2022-03-02,196,101,37.506057719685316
2,2022-04-01,216,83,4.557622035659437
2,2022-05-01,204,95,99.44131412916055
2,2022-05-31,208,95,24.672383400153397
2,2022-06-30,239,105,92.53648406809067
2,2022-07-30,191,105,89.87682893221654
2,2022-08-29,191,113,33.57931282527717
2,2022-09-28,221,102,62.05343142165689
2,2022-10-28,198,109,10.331087293820307
2,2022-11-27,194,113,86.4248103657505
2,2022-12-27,219,102,93.99400918384023
2,2023-01-26,205,111,65.84263456713835
2,2023-02-25,196,102,87.77139946859299
2,2023-03-27,193,99,67.11420135521203
2,2023-04-26,183,93,87.12963716582665
2,2023-05-26,169,103,39.107671214266524
2,2023-06-25,222,103,97.63573441252392
2,2023-07-25,191,103,68.25092564684272
2,2023-08-24,165,111,77.66895960028775
2,2023-09-23,235,109,93.10015417313132
2,2023-10-23,201,85,12.195124088322629
2,2023-11-22,200,85,43.02983823668305
2,2023-12-22,168,101,16.855572197293167
2,2024-01-21,211,90,7.171355264970069
2,2024-02-20,189,99,73.39690093255345
2,2024-03-21,189,90,81.96682154225073
2,2024-04-20,208,100,44.59497731009547
2,2024-05-20,202,89,41.72352225597672
2,2024-06-19,180,104,86.68298941057586
2,2024-07-19,171,89,15.21153155784577
2,2024-08-18,203,101,80.35920245747313
2,2024-09-17,201,83,43.32790041528766
2,2024-10-17,252,88,20.712242220809664
3,2022-09-08,527,216,75.38208030545465
3,2022-10-08,540,309,42.97778173625534
3,2022-11-07,573,297,35.477686789176275
3,2022-12-07,615,265,39.932702586213445
3,2023-01-06,662,303,52.74582253105288
3,2023-02-05,741,345,98.95287908965909
3,2023-03-07,751,342,18.281068504147747
3,2023-04-06,828,381,92.26941337465564
3,2023-05-06,670,330,76.40657133214522
4,2023-03-24,217,96,88.50928495230406
4,2023-04-23,97,54,18.26628724123064
5,2022-09-21,190,114,61.013882571313225
5,2022-10-21,177,109,20.51188298633423
5,2022-11-20,187,112,89.06646683754867
5,2022-12-20,203,103,24.82377883704282
5,2023-01-19,180,102,93.18941387467213
5,2023-02-18,186,97,80.07710412601529
5,2023-03-20,165,113,33.164423228173355
6,2022-07-08,265,95,14.783670816088945
