CUSTOMER_ID,SEGMENT,INDUSTRY,COUNTRY,PLAN,MRR,SUBSCRIPTION_DURATION,CUSTOMER_STATUS,CHURN_LABEL,AVG_MONTHLY_LOGINS,AVG_TICKETS_RAISED,AVG_FEATURE_USAGE,PREDICTED_CHURN,CHURN_PROBABILITY
1,SMB,Financial Services/Fintech,France,Growth,210,436,Active,0,207.071429,101.357143,51.0268570875638,0,0.0
2,SMB,Professional Services,Japan,Growth,615,1078,Active,0,201.235294,98.176471,56.5229408696454,1,0.55
3,SMB,Education,Singapore,Pro,6468,281,Churned,1,656.333333,309.777778,59.1584451387511,0,0.44
4,SMB,Financial Services/Fintech,Canada,Growth,780,661,Active,0,157.0,75.0,53.3877860967673,0,0.0
5,SMB,Healthcare,Australia,Growth,900,845,Active,0,184.0,107.142857,57.4067074944428,0,0.0
6,SMB,Media,USA,Growth,915,920,Active,0,202.625,91.75,49.0104513593137,0,0.18
7,Enterprise,Media,UK,Pro,3038,981,Active,0,506.0,254.555556,48.2951304900341,0,0.0
8,SMB,Technology,Singapore,Growth,525,699,Active,0,202.0,90.0,31.1376600116344,0,0.0
9,SMB,Logistics,USA,Growth,780,416,Active,0,211.0,101.0,59.591325591856,0,0.0
10,SMB,Retail,Canada,Pro,5292,304,Churned,1,506.1,250.5,49.1870900430258,0,0.0
11,SMB,Manufacturing,Singapore,Pro,4459,999,Active,0,490.521739,251.608696,50.9017918395736,0,0.0
12,SMB,Technology,USA,Pro,4851,179,Churned,1,488.333333,237.5,41.712556016241,0,0.0
13,SMB,Manufacturing,Brazil,Growth,135,1089,Active,0,200.190476,98.904762,57.2932485120253,0,0.32
14,Enterprise,Logistics,USA,Growth,765,542,Active,0,246.5,138.0,10.7379582649435,0,0.0
15,Mid-Market,Media,Singapore,Enterprise,4653,954,Active,0,1170.571429,637.428571,54.3650196305354,0,0.14
16,Mid-Market,Healthcare,UK,Enterprise,8019,172,Churned,1,1052.666667,504.5,55.5190165764692,0,0.0
17,Enterprise,Professional Services,USA,Pro,3381,237,Churned,1,511.0,233.75,54.7203209611145,0,0.0
18,Enterprise,Professional Services,USA,Growth,435,548,Active,0,173.0,100.0,61.9315317010881,0,0.0
19,Mid-Market,Financial Services/Fintech,Germany,Pro,4116,756,Active,0,488.285714,248.571429,49.6741898487289,0,0.0
20,Mid-Market,Technology,Singapore,Enterprise,2772,118,Churned,1,958.25,500.5,44.1065384549846,0,0.0
21,SMB,Logistics,Australia,Pro,2058,400,Active,0,519.0,205.0,94.3838468237342,0,0.0
22,SMB,Healthcare,Japan,Enterprise,4554,414,Active,0,954.0,505.0,15.4218980657419,0,0.0
23,SMB,Professional Services,India,Growth,720,924,Active,0,146.0625,72.4375,51.1632131064362,0,0.23
24,SMB,Financial Services/Fintech,USA,Pro,1666,446,Active,0,531.0,252.0,47.3849062299108,0,0.0
25,Enterprise,Retail,Germany,Pro,5096,439,Active,0,534.0,277.0,86.1849726776057,0,0.0
26,SMB,Media,UK,Pro,5537,924,Active,0,526.125,248.625,36.812504027748,0,0.16
27,Mid-Market,Retail,Canada,Pro,6272,637,Active,0,570.4,262.6,48.3405422283865,0,0.0
28,SMB,Media,USA,Pro,3577,852,Active,0,637.272727,320.454545,43.6391931384264,0,0.0
29,SMB,Retail,USA,Enterprise,7227,942,Active,0,983.538462,512.769231,57.3064007640418,0,0.0
30,SMB,Financial Services/Fintech,Australia,Enterprise,3861,725,Active,0,934.6,507.4,70.1097988445521,0,0.0
31,SMB,Healthcare,USA,Growth,570,960,Active,0,213.583333,100.25,53.1411071418808,0,0.0
